Brentford | 2.034476612430933 - 0.61794191971773 | Luton Town
Brentford | 2.034476612430933 - 0.7413244171949427 | Burnley
Brentford | 2.034476612430933 - 0.61794191971773 | Sheffield Utd
Fulham | 0.8660257319641629 - 2.3193178476918557 | Manchester City
Fulham | 0.9742789484596834 - 2.387533078506322 | Arsenal
Fulham | 1.7861780721760865 - 1.5007350779182596 | Manchester Utd
Fulham | 1.0284055567074435 - 2.182887386062923 | Newcastle Utd
Fulham | 1.6237982474328059 - 1.9782416936195242 | Liverpool
Fulham | 1.7320514639283258 - 2.387533078506322 | Brighton
Fulham | 1.3531652061940052 - 1.227874154660394 | Aston Villa
Fulham | 2.056811113414887 - 2.2511026168773896 | Tottenham
Fulham | 1.5155450309372853 - 1.568950308732726 | Brentford
Fulham | 1.4072918144417652 - 1.2960893854748605 | Crystal Palace
Fulham | 1.5155450309372853 - 1.227874154660394 | Chelsea
Fulham | 2.056811113414887 - 0.818582769773596 | Wolves
Fulham | 1.677924855680566 - 1.0914436930314615 | West Ham
Fulham | 2.3274441546536884 - 1.1596589238459278 | Bournemouth
Fulham | 2.3815707629014486 - 0.7503675389591298 | Nott'ham Forest
Fulham | 1.6237982474328059 - 1.227874154660394 | Everton
Fulham | 1.8019649995816829 - 0.9955730928785652 | Luton Town
Fulham | 1.8019649995816829 - 1.194356005480741 | Burnley
Fulham | 1.8019649995816829 - 0.9955730928785652 | Sheffield Utd
Crystal Palace | 0.5866625926208847 - 1.8394589826521612 | Manchester City
Crystal Palace | 0.6599954166984954 - 1.8935607174360483 | Arsenal
Crystal Palace | 1.209991597280575 - 1.190238165245516 | Manchester Utd
Crystal Palace | 0.6966618287373006 - 1.731255513084387 | Newcastle Utd
Crystal Palace | 1.0999923611641589 - 1.568950308732726 | Liverpool
Crystal Palace | 1.1733251852417694 - 1.8935607174360483 | Brighton
Crystal Palace | 0.9166603009701325 - 0.9738312261099676 | Aston Villa
Crystal Palace | 1.3933236574746013 - 1.7853572478682742 | Tottenham
Crystal Palace | 1.0266595370865483 - 1.244339900029403 | Brentford
Crystal Palace | 0.8799938889313272 - 1.2984416348132901 | Fulham
